Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['17(1)-16(1)' '17(0)-16(0)'],[312.6817313 312.6877428],[-2.73867 -2.7371 ],[142.21934 135.07591],[-1.8313 -1.8194]
['CH3CNv=0'],['Methyl Cyanide'],['18(6)-17(6)'],[330.8427618],[-2.71407],[407.9453],[-1.8901]
['CH3CNv=0'],['Methyl Cyanide'],['18(5)-17(5)'],[330.912608],[-2.69747],[329.46071],[-2.061]
['CH3CNv=0'],['Methyl Cyanide'],['18(4)-17(4)'],[330.9697938],[-2.68439],[265.22179],[-1.955]
['CH3CNv=0'],['Methyl Cyanide'],['18(3)-17(3)'],[331.0142959],[-2.67442],[215.24293],[-1.5717]
['CH3CNv=0'],['Methyl Cyanide'],['18(2)-17(2)'],[331.046096],[-2.66744],[179.53565],[-1.8141]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['18(1)-17(1)' '18(0)-17(0)'],[331.0651813 331.0715436],[-2.66333 -2.66197],[158.108   150.96488],[-1.779  -1.7673]
['CH3CNv=0'],['Methyl Cyanide'],['19(6)-18(6)'],[349.2123106],[-2.63745],[424.70492],[-1.8377]
['CH3CNv=0'],['Methyl Cyanide'],['19(5)-18(5)'],[349.2860057],[-2.62274],[346.22396],[-2.0105]
['CH3CNv=0'],['Methyl Cyanide'],['19(4)-18(4)'],[349.3463428],[-2.61106],[281.98778],[-1.9059]
['CH3CNv=0'],['Methyl Cyanide'],['19(3)-18(3)'],[349.3932971],[-2.60218],[232.01121],[-1.5237]
['CH3CNv=0'],['Methyl Cyanide'],['19(2)-18(2)'],[349.4268497],[-2.5959],[196.30559],[-1.7668]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['19(1)-18(1)' '19(0)-18(0)'],[349.4469867 349.4536999],[-2.59219 -2.59093],[174.879   167.73618],[-1.7321 -1.7205]
['CH3CNv=0'],['Methyl Cyanide'],['20(6)-19(6)'],[367.5801394],[-2.56551],[442.346],[-1.7912]
['CH3CNv=0'],['Methyl Cyanide'],['20(5)-19(5)'],[367.6576785],[-2.5523],[363.86883],[-1.9655]
['CH3CNv=0'],['Methyl Cyanide'],['20(4)-19(4)'],[367.7211627],[-2.54171],[299.63582],[-1.862]
['CH3CNv=0'],['Methyl Cyanide'],['20(3)-19(3)'],[367.7705662],[-2.53373],[249.66152],[-1.4807]
['CH3CNv=0'],['Methyl Cyanide'],['20(2)-19(2)'],[367.8058688],[-2.52805],[213.95757],[-1.7244]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['20(1)-19(1)' '20(0)-19(0)'],[367.8270561 367.8341195],[-2.52474 -2.52357],[192.53189 185.38952],[-1.6901 -1.6786]
['CH3CNv=0'],['Methyl Cyanide'],['21(6)-20(6)'],[385.9461579],[-2.49745],[460.86869],[-1.7498]
['CH3CNv=0'],['Methyl Cyanide'],['21(5)-20(5)'],[386.0275355],[-2.48553],[382.39529],[-1.9254]
['CH3CNv=0'],['Methyl Cyanide'],['21(4)-20(4)'],[386.0941625],[-2.47604],[318.16545],[-1.823]
['CH3CNv=0'],['Methyl Cyanide'],['21(3)-20(3)'],[386.1460116],[-2.46876],[268.19372],[-1.4424]
['CH3CNv=0'],['Methyl Cyanide'],['21(2)-20(2)'],[386.183062],[-2.46367],[232.49158],[-1.6867]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['21(1)-20(1)' '21(0)-20(0)'],[386.2052982 386.2127114],[-2.46056 -2.45959],[211.06696 203.92489],[-1.6526 -1.6413]
['CH3CNv=0'],['Methyl Cyanide'],['22(6)-21(6)'],[404.3102753],[-2.43306],[480.27268],[-1.7133]
['CH3CNv=0'],['Methyl Cyanide'],['22(5)-21(5)'],[404.395486],[-2.42224],[401.80335],[-1.89]
['CH3CNv=0'],['Methyl Cyanide'],['22(4)-21(4)'],[404.4652512],[-2.41354],[337.57683],[-1.7884]
['CH3CNv=0'],['Methyl Cyanide'],['22(3)-21(3)'],[404.5195425],[-2.40695],[287.6078],[-1.4085]
['CH3CNv=0'],['Methyl Cyanide'],['22(2)-21(2)'],[404.5583379],[-2.40227],[251.90747],[-1.6532]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['22(1)-21(1)' '22(0)-21(0)'],[404.5816215 404.5893837],[-2.39946 -2.39849],[230.48406 223.34229],[-1.6194 -1.6081]
['CH3CNv=0'],['Methyl Cyanide'],['23(5)-22(5)'],[422.761439],[-2.36191],[422.09286],[-1.8588]
['CH3CNv=0'],['Methyl Cyanide'],['23(4)-22(4)'],[422.8343376],[-2.35401],[357.8698],[-1.758]
['CH3CNv=0'],['Methyl Cyanide'],['23(3)-22(3)'],[422.8910665],[-2.34792],[307.90347],[-1.3786]
['CH3CNv=0'],['Methyl Cyanide'],['23(2)-22(2)'],[422.9316052],[-2.34362],[272.2051],[-1.6237]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['23(1)-22(1)' '23(0)-22(0)'],[422.9559346 422.9640447],[-2.34111 -2.34024],[250.78274 243.64157],[-1.5902 -1.579 ]
['CH3CNv=0'],['Methyl Cyanide'],['24(5)-23(5)'],[441.1253037],[-2.30434],[443.26367],[-1.8316]
['CH3CNv=0'],['Methyl Cyanide'],['24(4)-23(4)'],[441.2013308],[-2.29713],[379.04435],[-1.7315]
['CH3CNv=0'],['Methyl Cyanide'],['24(3)-23(3)'],[441.2604952],[-2.29154],[329.08074],[-1.3526]
['CH3CNv=0'],['Methyl Cyanide'],['24(2)-23(2)'],[441.3027727],[-2.28764],[293.38446],[-1.5981]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['24(1)-23(1)' '24(0)-23(0)'],[441.3281461 441.3366051],[-2.28523 -2.28446],[271.9633  264.82244],[-1.5647 -1.5536]
['CH3CNv=0'],['Methyl Cyanide'],['25(5)-24(5)'],[459.4869892],[-2.24932],[465.31577],[-1.8082]
['CH3CNv=0'],['Methyl Cyanide'],['25(4)-24(4)'],[459.5661397],[-2.24271],[401.10021],[-1.7087]
['CH3CNv=0'],['Methyl Cyanide'],['25(3)-24(3)'],[459.6277346],[-2.23751],[351.13958],[-1.3302]
['CH3CNv=0'],['Methyl Cyanide'],['25(2)-24(2)'],[459.6717489],[-2.23391],[315.44541],[-1.576]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['25(1)-24(1)' '25(0)-24(0)'],[459.6981646 459.7069711],[-2.2317  -2.23093],[294.02559 286.88503],[-1.5428 -1.5317]
['CH3CNv=0'],['Methyl Cyanide'],['26(5)-25(5)'],[477.8464048],[-2.19666],[488.24888],[-1.7884]
['CH3CNv=0'],['Methyl Cyanide'],['26(4)-25(4)'],[477.9286731],[-2.19044],[424.03721],[-1.6893]
['CH3CNv=0'],['Methyl Cyanide'],['26(3)-25(3)'],[477.9926943],[-2.18564],[374.07972],[-1.3112]
['CH3CNv=0'],['Methyl Cyanide'],['26(2)-25(2)'],[478.0384424],[-2.18234],[338.38778],[-1.5573]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['26(1)-25(1)' '26(0)-25(0)'],[478.0658988 478.0750521],[-2.18032 -2.17965],[316.96917 309.8292 ],[-1.5243 -1.5133]
['CH3CNv=0'],['Methyl Cyanide'],['27(4)-26(4)'],[496.2888401],[-2.14022],[447.85549],[-1.6732]
['CH3CNv=0'],['Methyl Cyanide'],['27(3)-26(3)'],[496.3552829],[-2.13581],[397.90129],[-1.2955]
['CH3CNv=0'],['Methyl Cyanide'],['27(2)-26(2)'],[496.4027621],[-2.13271],[362.21145],[-1.5418]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['27(1)-26(1)' '27(0)-26(0)'],[496.4312571 496.4407562],[-2.13079 -2.13022],[340.79432 333.6548 ],[-1.5089 -1.498 ]
['CH3CNv=0'],['Methyl Cyanide'],['28(4)-27(4)'],[514.6465495],[-2.09195],[472.55477],[-1.6603]
['CH3CNv=0'],['Methyl Cyanide'],['28(3)-27(3)'],[514.7154102],[-2.08784],[422.60385],[-1.2829]
['CH3CNv=0'],['Methyl Cyanide'],['28(2)-27(2)'],[514.7646164],[-2.08493],[386.9164],[-1.5294]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['28(1)-27(1)' '28(0)-27(0)'],[514.7941482 514.8039934],[-2.08321 -2.08254],[365.50076 358.36154],[-1.4967 -1.4857]
['CH3CNv=0'],['Methyl Cyanide'],['29(4)-28(4)'],[533.0017103],[-2.04543],[498.13504],[-1.6504]
['CH3CNv=0'],['Methyl Cyanide'],['29(3)-28(3)'],[533.0729831],[-2.04161],[448.1874],[-1.2733]
['CH3CNv=0'],['Methyl Cyanide'],['29(2)-28(2)'],[533.1239141],[-2.0389],[412.50248],[-1.52]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['29(1)-28(1)' '29(0)-28(0)'],[533.1544806 533.1646699],[-2.03727 -2.0367 ],[391.08833 383.94971],[-1.4874 -1.4765]
['CH3CNv=0'],['Methyl Cyanide'],['30(3)-29(3)'],[551.4279127],[-1.99692],[474.65194],[-1.2665]
['CH3CNv=0'],['Methyl Cyanide'],['30(2)-29(2)'],[551.4805637],[-1.9944],[438.96954],[-1.5134]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['30(1)-29(1)' '30(0)-29(0)'],[551.5121629 551.5226973],[-1.99288 -1.9923 ],[417.55688 410.41871],[-1.4809 -1.47  ]
['CH3CNv=0'],['Methyl Cyanide'],['31(2)-30(2)'],[569.8344739],[-1.95135],[466.31745],[-1.5095]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['31(1)-30(1)' '31(0)-30(0)'],[569.8671036 569.8779816],[-1.94992 -1.94945],[444.90628 437.76869],[-1.4771 -1.4663]
['CH3CNv=0'],['Methyl Cyanide'],['32(2)-31(2)'],[588.1855533],[-1.90974],[494.54619],[-1.5083]
['CH3CNv=0' 'CH3CNv=0'],['Methyl Cyanide' 'Methyl Cyanide'],['32(1)-31(1)' '32(0)-31(0)'],[588.2192113 588.2304322],[-1.90841 -1.90794],[473.13665 465.99951],[-1.476  -1.4652]
['CH3CNv=0'],['Methyl Cyanide'],['33(0)-32(0)'],[606.5799568],[-1.86766],[495.11101],[-1.4666]
