Species,ChemicalName,QNs,Freq,log10_Aij,EU_K,CDMS/JPL Intensity
SO3&Sigma;v=0,Sulfur Monoxide,6(5)-5(4),219.949442,-3.86599,34.9847,-2.3094
SO3&Sigma;v=0,Sulfur Monoxide,1(2)-2(1),236.4523254,-5.83998,15.8079,-4.9233
SO3&Sigma;v=0,Sulfur Monoxide,2(3)-3(2),246.4046867,-5.98828,21.05116,-4.8749
SO3&Sigma;v=0,Sulfur Monoxide,5(6)-4(5),251.82577,-3.70698,50.66106,-2.3033
SO3&Sigma;v=0,Sulfur Monoxide,8(9)-8(8),254.5735004,-5.36413,99.69898,-3.847
SO3&Sigma;v=0,Sulfur Monoxide,6(6)-5(5),258.255813,-3.66526,56.49798,-2.2082
SO3&Sigma;v=0,Sulfur Monoxide,7(6)-6(5),261.843684,-3.63319,47.55111,-2.1069
SO3&Sigma;v=0,Sulfur Monoxide,3(4)-4(3),267.1978968,-6.13921,28.6805,-4.9252
SO3&Sigma;v=0,Sulfur Monoxide,1(1)-1(0),286.340207,-4.8446,15.18186,-4.0084
SO3&Sigma;v=0,Sulfur Monoxide,4(5)-5(4),294.7685694,-6.26515,38.57543,-4.998
SO3&Sigma;v=0,Sulfur Monoxide,9(10)-9(9),295.3553053,-5.27819,120.24494,-3.8056
SO3&Sigma;v=0,Sulfur Monoxide,6(7)-5(6),296.550045,-3.48239,64.89314,-2.0962
SO3&Sigma;v=0,Sulfur Monoxide,7(7)-6(6),301.286124,-3.45635,70.95723,-2.0235
SO3&Sigma;v=0,Sulfur Monoxide,8(7)-7(6),304.077844,-3.43416,62.14451,-1.9381
SO3&Sigma;v=0,Sulfur Monoxide,2(2)-2(1),309.502444,-4.83949,19.31373,-3.8204
SO3&Sigma;v=0,Sulfur Monoxide,5(6)-6(5),326.6449266,-6.36832,50.66106,-5.075
SO3&Sigma;v=0,Sulfur Monoxide,1(2)-0(1),329.385477,-4.83817,15.80792,-4.0622
SO3&Sigma;v=0,Sulfur Monoxide,10(11)-10(10),336.5533459,-5.20443,142.87507,-3.7764
SO3&Sigma;v=0,Sulfur Monoxide,3(3)-3(2),339.341459,-4.82872,25.5114,-3.7114
SO3&Sigma;v=0,Sulfur Monoxide,7(8)-6(7),340.714155,-3.29383,81.24468,-1.9279
SO3&Sigma;v=0,Sulfur Monoxide,8(8)-7(7),344.310612,-3.27672,87.48155,-1.8699
SO3&Sigma;v=0,Sulfur Monoxide,2(3)-2(1),345.7045553,-6.8571,21.05115,-5.8873
SO3&Sigma;v=0,Sulfur Monoxide,9(8)-8(7),346.528481,-3.26062,78.7751,-1.7956
SO3&Sigma;v=0,Sulfur Monoxide,6(7)-7(6),361.3512155,-6.45373,64.89318,-5.1511
SO3&Sigma;v=0,Sulfur Monoxide,4(4)-4(3),373.3442892,-4.81312,33.7747,-3.6389
SO3&Sigma;v=0,Sulfur Monoxide,11(12)-11(11),378.0646926,-5.14001,167.58401,-3.7573
SO3&Sigma;v=0,Sulfur Monoxide,8(9)-7(8),384.5270956,-3.13087,99.69896,-1.7883
SO3&Sigma;v=0,Sulfur Monoxide,9(9)-8(8),387.328654,-3.119,106.07019,-1.7404
SO3&Sigma;v=0,Sulfur Monoxide,10(9)-9(8),389.1209186,-3.1069,97.44993,-1.6743
SO3&Sigma;v=0,Sulfur Monoxide,7(8)-8(7),397.9875318,-6.52596,81.24473,-5.2255
SO3&Sigma;v=0,Sulfur Monoxide,3(4)-3(2),405.3765436,-6.78793,28.68057,-5.7501
SO3&Sigma;v=0,Sulfur Monoxide,2(3)-1(0),408.636195,-4.79198,21.05111,-3.8926
SO3&Sigma;v=0,Sulfur Monoxide,5(5)-5(4),409.9595775,-4.79437,44.1037,-3.5873
SO3&Sigma;v=0,Sulfur Monoxide,12(13)-12(12),419.8162134,-5.08292,194.36781,-3.7468
SO3&Sigma;v=0,Sulfur Monoxide,9(10)-8(9),428.1104589,-2.98693,120.24499,-1.6709
SO3&Sigma;v=0,Sulfur Monoxide,10(10)-9(9),430.339338,-2.97854,126.72311,-1.6306
SO3&Sigma;v=0,Sulfur Monoxide,11(10)-10(9),431.8081008,-2.9692,118.17322,-1.5708
SO3&Sigma;v=0,Sulfur Monoxide,8(9)-9(8),435.9861191,-6.58803,99.69909,-5.2982
SO3&Sigma;v=0,Sulfur Monoxide,6(6)-6(5),448.2659932,-4.77373,56.49792,-3.5495
SO3&Sigma;v=0,Sulfur Monoxide,13(14)-13(13),461.7545957,-5.03189,223.22348,-3.744
SO3&Sigma;v=0,Sulfur Monoxide,10(11)-9(10),471.5373786,-2.858,142.87504,-1.5717
SO3&Sigma;v=0,Sulfur Monoxide,11(11)-10(10),473.3418641,-2.85181,149.43984,-1.5371
SO3&Sigma;v=0,Sulfur Monoxide,4(5)-4(3),473.3739366,-6.72059,38.57534,-5.6529
SO3&Sigma;v=0,Sulfur Monoxide,12(11)-11(10),474.5594412,-2.84444,140.94839,-1.4823
SO3&Sigma;v=0,Sulfur Monoxide,9(10)-10(9),474.9756593,-6.64246,120.24492,-5.3699
SO3&Sigma;v=0,Sulfur Monoxide,7(7)-7(6),487.7083564,-4.75231,70.95734,-3.5221
SO3&Sigma;v=0,Sulfur Monoxide,14(15)-14(14),503.8400719,-4.98576,254.14855,-3.748
SO3&Sigma;v=0,Sulfur Monoxide,3(4)-2(1),504.6764122,-4.78876,28.68055,-3.8426
SO3&Sigma;v=0,Sulfur Monoxide,4(4)-3(2),511.5229361,-7.02052,33.77476,-5.9782
